"source_system;client_id;snapshot_ts;item_internal_id;item_name;location;subsidiary;stock_status;quantity_on_hand;quantity_available;average_cost"
"netsuite;vonderk;2026-07-20 14:19;11799;INS-CHIP LED-PL12;Almacén General Mentrau;MENTRAU;Buen estado Otros;7;7;445.50"
"netsuite;vonderk;2026-07-20 14:19;11798;INS-CHIP LED-32-64-96W-PL16;Almacen Mentrau Exento;MENTRAU;Buen estado Otros;2;2;635.9375"
"netsuite;vonderk;2026-07-20 14:19;11798;INS-CHIP LED-32-64-96W-PL16;Almacén General Mentrau;MENTRAU;Buen estado Otros;26;26;635.9375"
"netsuite;vonderk;2026-07-20 14:19;12468;INS-CINTA POLIMERO-VK LN;Producción Mentrau;MENTRAU;Buen estado PT;27;27;120.00"
"netsuite;vonderk;2026-07-20 14:19;8412;INS-CONECTOR-GROWX3;Almacén General Golau;GOLAU;En producción;3;3;4445.23"
"netsuite;vonderk;2026-07-20 14:19;8412;INS-CONECTOR-GROWX3;Almacén General Golau;GOLAU;Buen estado Otros;491;491;4445.23"
"netsuite;vonderk;2026-07-20 14:19;8413;INS-CONECTOR-GROWX4;Almacén General Golau;GOLAU;Buen estado Otros;294;294;5602.20"
"netsuite;vonderk;2026-07-20 14:19;8415;INS-CT-RGB;Almacén General Mentrau;MENTRAU;Buen estado Otros;90;90;730.72"
"netsuite;vonderk;2026-07-20 14:19;8416;INS-CT-RGBW;Producción Mentrau;MENTRAU;En producción;69;69;750.00"
"netsuite;vonderk;2026-07-20 14:19;8414;INS-CT-5;Almacen Mentrau Exento;MENTRAU;En producción;2;2;341.00"
"netsuite;vonderk;2026-07-20 14:19;8414;INS-CT-5;Producción Mentrau;MENTRAU;En producción;122;122;341.00"
